date,temp_max,temp_min,precipitation,wind_speed,weather_code,condition,year,month,day
01-01-2020,17.7,2.9,0,12,3,Cold,2020,1,1
02-01-2020,19.5,6.8,0,12.4,2,Pleasant,2020,1,2
03-01-2020,19,8.2,0.1,9.8,51,Light Drizzle,2020,1,3
04-01-2020,18.9,8.8,0.5,9.7,51,Light Drizzle,2020,1,4
05-01-2020,19.8,7.8,0,12.9,3,Cloudy,2020,1,5
06-01-2020,17,10.2,0,11.6,3,Cold,2020,1,6
07-01-2020,17.8,11.1,2.1,13,53,Cold,2020,1,7
08-01-2020,15.3,10.3,17.5,14.5,61,Rainy,2020,1,8
09-01-2020,15.9,7.1,0,16.1,0,Cold,2020,1,9
10-01-2020,16.6,5.8,0,16.1,0,Cold,2020,1,10
11-01-2020,16.9,5.4,0,11.3,3,Cold,2020,1,11
12-01-2020,19.7,5.9,0,10.9,2,Pleasant,2020,1,12
13-01-2020,20.6,9.2,16.6,19.3,63,Rainy,2020,1,13
14-01-2020,18.2,10.4,0.3,11.7,51,Light Drizzle,2020,1,14
15-01-2020,18.6,7.3,0,12.2,1,Pleasant,2020,1,15
16-01-2020,15.8,9.4,11.1,10,61,Rainy,2020,1,16
17-01-2020,17.9,10.2,0.6,11,51,Cold,2020,1,17
18-01-2020,17.2,8.9,0.2,10.9,51,Cold,2020,1,18
19-01-2020,17.5,7.8,0,12.7,0,Cold,2020,1,19
20-01-2020,17.5,7.2,0,12.5,3,Cold,2020,1,20
21-01-2020,18.2,9.3,0,9.5,3,Cloudy,2020,1,21
22-01-2020,18.8,7.4,0,15.1,3,Cloudy,2020,1,22
23-01-2020,17.8,8.4,0,23.2,3,Cold,2020,1,23
24-01-2020,19.2,8.4,0,22.6,3,Cloudy,2020,1,24
25-01-2020,18.2,5.2,0,9.8,2,Pleasant,2020,1,25
26-01-2020,20.2,7.1,0,10.5,3,Cloudy,2020,1,26
27-01-2020,20,8.6,0.4,16.7,51,Light Drizzle,2020,1,27
28-01-2020,19.3,10.9,16,20.7,63,Rainy,2020,1,28
29-01-2020,18.5,10.2,0.5,10.2,51,Light Drizzle,2020,1,29
30-01-2020,18.1,8.4,0,17.8,0,Clear Sky,2020,1,30
31-01-2020,17.5,7.4,0,12.7,0,Cold,2020,1,31
01-02-2020,18.3,7.6,0,12.5,0,Clear Sky,2020,2,1
02-02-2020,18,6.8,0,14.4,0,Cold,2020,2,2
03-02-2020,18.8,6.5,0,11.8,0,Clear Sky,2020,2,3
04-02-2020,19.6,7.2,0,10.4,1,Pleasant,2020,2,4
05-02-2020,19,8.2,0,16,3,Cloudy,2020,2,5
06-02-2020,17.5,6.8,0,11.2,0,Cold,2020,2,6
07-02-2020,18.3,8.1,0.1,12,51,Light Drizzle,2020,2,7
08-02-2020,19.1,7,0,10.7,0,Clear Sky,2020,2,8
09-02-2020,19.8,6.9,0,10.2,3,Cloudy,2020,2,9
10-02-2020,20,7.4,0,11.1,3,Cloudy,2020,2,10
11-02-2020,20.6,7.2,0,11.2,2,Pleasant,2020,2,11
12-02-2020,23.8,9.1,0,19.5,3,Cloudy,2020,2,12
13-02-2020,26.5,13,0,20.6,1,Pleasant,2020,2,13
14-02-2020,24,13.8,0,29,0,Clear Sky,2020,2,14
15-02-2020,24.7,12.2,0,21.3,0,Clear Sky,2020,2,15
16-02-2020,25,10.9,0,12.2,0,Clear Sky,2020,2,16
17-02-2020,25.5,9.1,0,17.7,0,Clear Sky,2020,2,17
18-02-2020,25.4,10.3,0,20.2,1,Pleasant,2020,2,18
19-02-2020,25.1,9.9,0,21.5,3,Cloudy,2020,2,19
20-02-2020,26.3,15,2.1,25.4,55,Heavy Drizzle,2020,2,20
21-02-2020,18.9,13.6,13.4,25.2,63,Rainy,2020,2,21
22-02-2020,21.5,13.9,0.7,11.9,51,Light Drizzle,2020,2,22
23-02-2020,23.2,13.2,2.6,17.8,61,Rainy,2020,2,23
24-02-2020,23.5,12.3,0.1,11.8,51,Light Drizzle,2020,2,24
25-02-2020,24.4,13.1,0,16.3,0,Clear Sky,2020,2,25
26-02-2020,25,12.7,0,11.2,3,Cloudy,2020,2,26
27-02-2020,25.4,13.4,0,12.1,3,Cloudy,2020,2,27
28-02-2020,25.5,15.9,0,19.3,3,Cloudy,2020,2,28
29-02-2020,21.9,16.1,9.1,22.3,63,Rainy,2020,2,29
01-03-2020,24.9,15.1,0,14.8,2,Pleasant,2020,3,1
02-03-2020,25.4,14.8,0.2,9.4,51,Light Drizzle,2020,3,2
03-03-2020,26,13.6,0,10.5,1,Pleasant,2020,3,3
04-03-2020,24.9,13.9,1,17.2,53,Drizzle,2020,3,4
05-03-2020,24.5,14.4,13,27.8,63,Rainy,2020,3,5
06-03-2020,21.3,13.7,23.3,30.4,63,Heavy Rainy,2020,3,6
07-03-2020,20.4,12.8,1.7,18.9,53,Drizzle,2020,3,7
08-03-2020,22.7,11.6,0,16.4,3,Cloudy,2020,3,8
09-03-2020,23.5,11.8,0,20.3,0,Clear Sky,2020,3,9
10-03-2020,23.6,10.1,0,11,3,Cloudy,2020,3,10
11-03-2020,23.9,14.9,2.6,20.9,61,Rainy,2020,3,11
12-03-2020,25.6,14.2,0,21.1,2,Pleasant,2020,3,12
13-03-2020,24.6,13.7,10,23.2,63,Rainy,2020,3,13
14-03-2020,20.6,13.4,4.2,20.4,61,Rainy,2020,3,14
15-03-2020,21.2,11.2,0.1,10.7,51,Light Drizzle,2020,3,15
16-03-2020,23.9,12.8,0,12,3,Cloudy,2020,3,16
17-03-2020,25.6,13.5,0,14.1,0,Clear Sky,2020,3,17
18-03-2020,27.1,14.2,0,14.8,3,Cloudy,2020,3,18
19-03-2020,27.4,15.2,0.2,12.5,51,Light Drizzle,2020,3,19
20-03-2020,29,15.9,0.4,16.7,51,Sunny,2020,3,20
21-03-2020,28.4,15.2,1.6,9.2,61,Sunny,2020,3,21
22-03-2020,28.6,15.5,0,13.8,3,Sunny,2020,3,22
